Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Sandy Leon","MIA",42,65,57,13,11,2,0,0,3,1,6,0,12,1,0,1,1,0,0,0.22807018,5273
2021,"Brandon Crawford","SFG",89,150,135,33,21,6,0,6,12,27,12,0,38,0,3,0,2,1,3,0.24444444,5343
2021,"Freddie Freeman","ATL",97,192,171,44,30,6,1,7,25,20,16,0,31,4,1,0,4,2,1,0.25730994,5361
2021,"Juan Lagares","LAA",60,119,111,28,13,11,1,3,19,11,5,0,24,1,1,1,3,0,2,0.25225225,5384
2021,"Jose Altuve","HOU",84,207,187,52,33,12,0,7,38,21,16,1,27,1,2,1,1,3,2,0.27807487,5417
2021,"Ji-Man Choi","TBR",45,78,70,13,8,5,0,0,5,5,7,0,30,1,0,0,0,0,0,0.18571429,5452
2021,"Marwin Gonzalez","2 Tms",48,88,84,21,10,9,0,2,12,9,4,0,14,0,0,0,3,0,0,0.25,5497
2021,"Kyle Higashioka","NYY",38,69,64,15,7,3,0,5,8,16,4,0,16,0,1,0,0,0,0,0.234375,5517
2021,"Avisail Garcia","MIL",74,128,104,29,15,8,0,6,21,19,20,4,24,3,1,0,3,1,2,0.27884615,5760
2021,"Wilmer Flores","SFG",80,149,139,40,27,7,0,6,20,19,10,0,24,0,0,0,3,0,0,0.28776978,5827
2021,"Leury Garcia","CHW",78,139,124,35,26,7,1,1,14,20,7,0,33,1,3,4,4,2,0,0.28225806,5913
2021,"Jean Segura","PHI",84,183,163,51,33,11,1,6,26,21,18,3,22,1,1,0,5,3,1,0.31288344,5933
2021,"Didi Gregorius","PHI",68,106,89,14,8,3,0,3,6,14,7,0,19,7,3,0,2,0,0,0.15730337,6012
2021,"Eduardo Escobar","2 Tms",84,159,149,44,26,9,0,9,24,25,9,1,20,1,0,0,2,0,0,0.29530201,6153
2021,"J.D. Martinez","BOS",99,226,204,57,35,11,2,9,34,36,20,6,45,0,2,0,6,0,0,0.27941176,6184
2021,"Alcides Escobar","WSN",46,104,93,26,16,10,0,0,17,4,5,0,19,6,0,0,0,0,0,0.27956989,6310
